timestamp,high,low,close,open,volume
2021-07-04T00:00:00Z,21.95,20.22,21.51,21.51,8.64
2021-07-05T00:00:00Z,21.95,20.22,21.61,21.51,8.64
2021-07-06T00:00:00Z,22.25,21.10,20.83,21.61,8.64
2021-07-07T00:00:00Z,21.50,20.34,22.65,20.83,8.64
2021-07-08T00:00:00Z,23.25,22.13,22.41,22.65,8.64
2021-07-09T00:00:00Z,23.03,21.87,22.67,22.41,8.64
2021-07-10T00:00:00Z,23.34,22.18,23.05,22.67,8.64
2021-07-11T00:00:00Z,23.66,22.57,23.31,23.05,8.64
2021-07-12T00:00:00Z,23.97,22.80,23.68,23.31,8.64
2021-07-13T00:00:00Z,24.29,23.15,23.97,23.68,8.64
2021-07-14T00:00:00Z,24.60,23.45,24.31,23.97,8.64
2021-07-15T00:00:00Z,24.92,23.76,24.60,24.31,8.64
2021-07-16T00:00:00Z,25.23,24.09,24.89,24.60,8.64
2021-07-17T00:00:00Z,25.55,24.39,25.20,24.89,8.64
2021-07-18T00:00:00Z,25.86,24.69,24.87,25.20,8.64
2021-07-19T00:00:00Z,25.55,24.37,25.43,24.87,8.64
